氧化钠(Na2O),氧化钙(CaO),氧化铁(Fe2O3),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锡(SnO2)
0.0,2.34,1.86,47.43,0.0,3.57,0.0
0.0,1.48,0.0,28.68,31.23,3.59,0.0
0.0,3.19,0.0,32.45,30.62,7.56,0.0
0.0,3.51,0.0,25.39,14.61,9.38,0.0
0.0,2.93,1.33,42.82,5.35,8.83,0.0
0.0,0.0,1.51,9.3,23.55,5.75,0.0
7.92,0.5,0.0,16.98,11.86,0.0,0.0
0.0,0.47,0.0,29.14,26.23,0.14,0.0
2.31,0.63,1.55,31.9,6.65,0.19,0.0
0.0,1.44,0.0,29.53,32.25,3.13,0.0
0.0,3.01,0.0,29.92,35.45,6.04,0.0
0.0,1.34,0.41,17.14,4.04,1.04,0.23
0.92,2.98,0.81,12.31,2.03,0.41,0.0
0.0,4.49,2.12,39.22,10.29,0.0,0.4
0.0,4.24,2.74,37.74,10.35,1.41,0.44
0.0,1.6,4.59,16.55,3.42,1.62,0.0
0.0,0.46,1.0,19.76,4.88,0.17,0.0
0.0,0.64,0.0,16.16,3.55,0.13,0.0
0.0,0.78,0.47,46.55,10.0,0.34,0.0
0.0,0.38,0.17,22.05,5.68,0.42,0.0
2.22,0.37,0.32,41.61,10.83,0.07,0.0
0.0,0.89,0.0,17.24,10.34,1.46,0.0
1.38,0.68,0.29,49.31,9.79,0.48,0.0
0.0,1.11,0.0,61.03,7.22,1.16,0.0
0.0,1.87,0.19,70.21,6.69,1.77,0.0
0.0,4.96,1.79,44.12,9.76,7.46,0.0
5.74,0.79,0.0,21.88,10.47,0.08,0.0
5.68,0.0,0.0,20.12,10.88,0.0,0.0
0.0,5.24,0.76,59.85,7.29,0.0,0.0
0.0,6.4,1.39,44.75,3.26,12.83,0.0
3.06,2.14,0.77,13.61,5.22,0.0,0.0
2.66,0.84,0.0,15.99,10.96,0.0,0.0
0.0,0.0,0.0,25.25,10.06,0.2,0.0
4.66,0.87,0.0,25.4,9.23,0.1,0.0
0.8,2.82,1.03,15.71,7.31,1.1,1.31
0.0,4.58,2.74,34.18,6.1,11.1,0.0
0.0,2.08,1.27,23.02,4.19,4.32,0.0
0.0,3.19,0.33,44.0,14.2,6.34,0.0
0.0,3.12,0.0,30.61,6.22,6.34,0.0
0.0,3.58,1.19,40.24,8.94,8.1,0.47
0.0,5.13,0.42,51.34,0.0,8.75,0.0
1.22,2.27,0.23,47.42,8.64,5.71,0.0
3.04,0.78,0.0,13.66,8.99,0.0,0.0
0.0,3.19,0.0,55.46,7.04,4.24,0.0
0.0,0.0,0.0,58.46,0.0,14.13,0.0
2.71,1.13,0.0,32.92,7.95,0.35,0.0
0.0,1.21,0.0,41.25,15.45,2.54,0.0
0.0,1.31,0.0,45.1,17.3,0.0,0.0
0.0,3.49,0.86,39.35,7.66,8.99,0.0
