氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),五氧化二磷(P2O5)
0.0,9.99,6.32,3.93,1.74,3.87,1.17
0.0,5.19,2.01,4.06,0.0,0.78,0.66
0.0,12.37,5.87,5.5,2.16,5.09,0.7
0.0,9.67,7.12,6.44,2.06,2.18,0.79
0.0,10.95,7.35,7.5,2.62,3.27,0.94
0.0,7.37,0.0,11.15,2.39,2.51,4.18
0.0,7.68,5.41,10.05,6.04,2.18,4.5
0.0,0.0,1.07,1.98,0.17,3.24,0.61
0.0,0.59,0.62,1.32,0.32,1.55,0.35
0.0,0.92,0.21,0.81,0.26,0.84,0.0
0.0,1.01,0.72,1.46,0.29,1.65,0.15
2.86,12.53,8.7,6.16,2.88,4.73,1.27
3.38,12.28,8.23,9.23,0.5,0.47,0.16
2.1,14.52,8.27,6.18,0.42,1.07,0.0
0.0,9.42,0.0,3.05,0.0,0.0,1.36
0.0,0.0,4.71,6.19,2.37,3.28,1.1
0.0,0.74,1.66,3.5,0.35,0.55,0.21
0.0,0.0,0.94,2.51,0.2,1.54,0.36
