名称,二氧化硅(SiO2),氧化钠(Na2O),氧化铜(CuO),二氧化硫(SO2),氧化镁(MgO),氧化锡(SnO2),氧化锶(SrO),氧化钾(K2O),五氧化二磷(P2O5),氧化钡(BaO),氧化钙(CaO),氧化铅(PbO),氧化铁(Fe2O3),氧化铝(Al2O3)
二氧化硅(SiO2),0.0,0.004,0.4,0.031,0.052,0.028,0.0,0.502,0.0,0.0,0.002,0.0,0.765,0.001
氧化钠(Na2O),0.004,0.0,0.873,0.649,0.554,0.15,0.307,0.526,0.01,0.0,0.32,0.012,0.159,0.484
氧化镁(MgO),0.4,0.873,0.0,0.011,0.002,0.009,0.611,0.072,0.023,0.295,0.0,0.604,0.074,0.065
氧化钾(K2O),0.031,0.649,0.011,0.0,0.997,0.878,0.252,0.337,0.812,0.338,0.0,0.018,0.306,0.173
氧化钡(BaO),0.052,0.554,0.002,0.997,0.0,0.001,0.212,0.891,0.282,0.246,0.009,0.496,0.001,0.0
二氧化硫(SO2),0.028,0.15,0.009,0.878,0.001,0.0,0.117,0.439,0.593,0.168,0.006,0.461,0.018,0.001
氧化锶(SrO),0.0,0.307,0.611,0.252,0.212,0.117,0.0,0.924,0.031,0.077,0.176,0.011,0.427,0.21
氧化锡(SnO2),0.502,0.526,0.072,0.337,0.891,0.439,0.924,0.0,0.048,0.823,0.019,0.53,0.01,0.012
氧化钙(CaO),0.0,0.01,0.023,0.812,0.282,0.593,0.031,0.048,0.0,0.0,0.402,0.013,0.003,0.8
五氧化二磷(P2O5),0.0,0.0,0.295,0.338,0.246,0.168,0.077,0.823,0.0,0.0,0.895,0.011,0.12,0.128
氧化铝(Al2O3),0.002,0.32,0.0,0.0,0.009,0.006,0.176,0.019,0.402,0.895,0.0,0.006,0.006,0.023
氧化铅(PbO),0.0,0.012,0.604,0.018,0.496,0.461,0.011,0.53,0.013,0.011,0.006,0.0,0.579,0.523
氧化铁(Fe2O3),0.765,0.159,0.074,0.306,0.001,0.018,0.427,0.01,0.003,0.12,0.006,0.579,0.0,0.006
氧化铜(CuO),0.001,0.484,0.065,0.173,0.0,0.001,0.21,0.012,0.8,0.128,0.023,0.523,0.006,0.0
